347.129: [GC [PSYoungGen: 1618312K->793064K(1748608K)] 4442248K->3617000K(4951296K), 0.9596600 secs] [Times: user=8.03 sys=0.23, real=0.96 secs] 
354.746: [GC [PSYoungGen: 1737320K->912040K(1804864K)] 4561256K->3735976K(5007552K), 1.0426190 secs] [Times: user=8.73 sys=0.49, real=1.05 secs] 
361.852: [GC [PSYoungGen: 1797288K->1023592K(1940992K)] 4621224K->3847528K(5143680K), 1.0954800 secs] [Times: user=9.58 sys=0.23, real=1.09 secs] 
369.523: [GC [PSYoungGen: 1908840K->1135240K(1998208K)] 4732776K->3959176K(5200896K), 1.1518620 secs] [Times: user=9.25 sys=0.54, real=1.15 secs] 
376.403: [GC [PSYoungGen: 1927624K->1235112K(2159296K)] 4751560K->4059048K(5361984K), 1.1792670 secs] [Times: user=10.78 sys=0.25, real=1.18 secs] 
383.318: [GC [PSYoungGen: 2027496K->1334952K(2217152K)] 4851432K->4158888K(5419840K), 1.2321870 secs] [Times: user=10.80 sys=0.55, real=1.23 secs] 
389.777: [GC [PSYoungGen: 2020136K->1421320K(2384896K)] 4844072K->4245256K(5587584K), 1.2892980 secs] [Times: user=11.29 sys=0.30, real=1.29 secs] 
396.051: [GC [PSYoungGen: 2106504K->1507688K(2442816K)] 4930440K->4331624K(5645504K), 1.3362470 secs] [Times: user=12.18 sys=0.53, real=1.34 secs] 
401.781: [GC [PSYoungGen: 2086696K->1580776K(2603328K)] 4910632K->4404712K(5806016K), 1.3803580 secs] [Times: user=13.31 sys=0.22, real=1.38 secs] 
407.344: [GC [PSYoungGen: 2159784K->1653768K(2660480K)] 4983720K->4477704K(5863168K), 1.4118950 secs] [Times: user=13.24 sys=0.49, real=1.41 secs] 
412.212: [GC [PSYoungGen: 2138056K->1714888K(2804544K)] 4961992K->4538824K(6007232K), 1.3990340 secs] [Times: user=14.23 sys=0.24, real=1.40 secs] 
417.075: [GC [PSYoungGen: 2199176K->1340736K(2859328K)] 5023112K->4600872K(6120960K), 1.7914800 secs] [Times: user=16.91 sys=0.45, real=1.79 secs] 
418.866: [Full GC [PSYoungGen: 1340736K->1337262K(2859328K)] [PSOldGen: 3260136K->3261631K(3742848K)] 4600872K->4598894K(6602176K) [PSPermGen: 3453K->3453K(21248K)], 17.7344900 secs] [Times: user=17.51 sys=0.21, real=17.74 secs] 
436.601: [GC [PSYoungGen: 1337262K->1339232K(2859328K)] 4598894K->4600863K(6602176K), 10.3744070 secs] [Times: user=81.98 sys=1.00, real=10.37 secs] 
451.219: [GC [PSYoungGen: 1868448K->1406016K(2917120K)] 5130079K->4667647K(6659968K), 11.1293220 secs] [Times: user=87.06 sys=1.36, real=11.13 secs] 
472.210: [Full GC [PSYoungGen: 1993024K->1096009K(2917120K)] [PSOldGen: 3563565K->3742848K(4223488K)] 5556589K->4838857K(7140608K) [PSPermGen: 3453K->3453K(21248K)], 20.3924050 secs] [Times: user=20.09 sys=0.28, real=20.39 secs] 
492.602: [GC [PSYoungGen: 1096009K->1097696K(1684736K)] 4838857K->4840544K(5908224K), 9.2871040 secs] [Times: user=74.00 sys=0.95, real=9.28 secs] 
506.396: [GC [PSYoungGen: 1684704K->1171872K(2707200K)] 5427552K->4914720K(6930688K), 9.7945220 secs] [Times: user=77.55 sys=1.05, real=9.79 secs] 
521.392: [GC [PSYoungGen: 1831584K->1255328K(2801024K)] 5574432K->4998176K(7024512K), 10.0385760 secs] [Times: user=78.10 sys=1.06, real=10.04 secs] 
536.512: [GC [PSYoungGen: 1915040K->1338688K(2780672K)] 5657888K->5081536K(7004160K), 10.3332820 secs] [Times: user=81.37 sys=1.01, real=10.33 secs] 
